sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
119,18019,3.4961,494,932,IISPH,30,10000,3,0.02,0.0014094159,0.00031085892,Zero,30,1,1,1
120,18069,19.6078,495,932,IISPH,30,10000,42,0.02,0.00198246,0.00030412828,Zero,30,1,1,1
121,18119,3.2764,496,932,IISPH,30,10000,3,0.02,0.001720714,0.0002871982,Zero,30,1,1,1
122,18169,3.3243,497,932,IISPH,30,10000,3,0.02,0.0016021853,0.00035213114,Zero,30,1,1,1
123,18219,3.2366,498,932,IISPH,30,10000,3,0.02,0.0019259151,0.00024287491,Zero,30,1,1,1
124,18269,4.0088,499,932,IISPH,30,10000,3,0.02,0.0013638698,0.00034631416,Zero,30,1,1,1
125,18319,4.4208,500,932,IISPH,30,10000,5,0.02,0.0019795033,0.0002267334,Zero,30,1,1,1
126,18369,3.237,501,932,IISPH,30,10000,3,0.02,0.0015783551,0.0003181868,Zero,30,1,1,1
127,18419,24.5291,502,932,IISPH,30,10000,53,0.02,0.001984338,0.00031723507,Zero,30,1,1,1
128,18469,3.0319,503,932,IISPH,30,10000,3,0.02,0.001763083,0.0002949661,Zero,30,1,1,1
129,18519,3.2192,504,932,IISPH,30,10000,3,0.02,0.0016995603,0.00033825415,Zero,30,1,1,1
130,18569,4.9564,505,932,IISPH,30,10000,6,0.02,0.001978173,0.00027994404,Zero,30,1,1,1
131,18619,3.1491,506,932,IISPH,30,10000,3,0.02,0.0013342606,0.0003475994,Zero,30,1,1,1
132,18670,10.2822,507,932,IISPH,30,10000,18,0.02,0.0019793843,0.00028609415,Zero,30,1,1,1
133,18720,3.5034,508,932,IISPH,30,10000,3,0.02,0.0011831647,0.00037160254,Zero,30,1,1,1
134,18770,12.2638,509,932,IISPH,30,10000,25,0.02,0.0019805236,0.0003072528,Zero,30,1,1,1
135,18820,3.4279,510,932,IISPH,30,10000,3,0.02,0.0015861156,0.0003619084,Zero,30,1,1,1
136,18870,28.3239,511,932,IISPH,30,10000,64,0.02,0.0018709237,0.00033163629,Zero,30,1,1,1
137,18920,3.3577,512,932,IISPH,30,10000,3,0.02,0.0018411061,0.00035610053,Zero,30,1,1,1
138,18970,3.9233,513,932,IISPH,30,10000,3,0.02,0.0015353218,0.0004173329,Zero,30,1,1,1
139,19020,3.8203,514,932,IISPH,30,10000,3,0.02,0.0019450753,0.0003553391,Zero,30,1,1,1
140,19069,3.0766,515,932,IISPH,30,10000,3,0.02,0.0015636021,0.0004074948,Zero,30,1,1,1
141,19119,16.6567,516,932,IISPH,30,10000,34,0.02,0.0019818093,0.0003491283,Zero,30,1,1,1
