sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
220,24494,2.4236,735,1140,IISPH,5,2500,3,0.03,0.002812628,0.0011286883,Extrapolation,10,1,1,1
221,24527,2.7351,736,1140,IISPH,5,2500,5,0.03,0.0028509984,0.0011361731,Extrapolation,10,1,1,1
222,24560,1.9504,737,1140,IISPH,5,2500,3,0.03,0.0026115526,0.00095498195,Extrapolation,10,1,1,1
223,24594,26.1749,738,1140,IISPH,5,2500,118,0.03,0.002858291,0.0013798313,Extrapolation,10,1,1,1
224,24627,9.3867,739,1140,IISPH,5,2500,35,0.03,0.0028725376,0.0013280078,Extrapolation,10,1,1,1
225,24660,2.2775,740,1140,IISPH,5,2500,3,0.03,0.0028011473,0.0012050765,Extrapolation,10,1,1,1
226,24694,16.489,741,1140,IISPH,5,2500,73,0.03,0.0028651434,0.0010509299,Extrapolation,10,1,1,1
227,24727,14.1607,742,1140,IISPH,5,2500,62,0.03,0.00287037,0.0010813635,Extrapolation,10,1,1,1
228,24760,3.2589,743,1140,IISPH,5,2500,8,0.03,0.0028682703,0.0011430795,Extrapolation,10,1,1,1
229,24794,2.6664,744,1140,IISPH,5,2500,6,0.03,0.0028648383,0.0010073336,Extrapolation,10,1,1,1
230,24827,2.1606,745,1140,IISPH,5,2500,3,0.03,0.0024380556,0.0011723201,Extrapolation,10,1,1,1
231,24860,23.4178,746,1140,IISPH,5,2500,107,0.03,0.0028725148,0.0008966936,Extrapolation,10,1,1,1
232,24893,35.1038,747,1140,IISPH,5,2500,165,0.03,0.002827337,0.0010660365,Extrapolation,10,1,1,1
233,24927,3.1158,748,1140,IISPH,5,2500,7,0.03,0.002874242,0.0010288672,Extrapolation,10,1,1,1
234,24960,2.3135,749,1140,IISPH,5,2500,4,0.03,0.002881591,0.0011129512,Extrapolation,10,1,1,1
235,24993,6.623,750,1140,IISPH,5,2500,24,0.03,0.0028707876,0.001322073,Extrapolation,10,1,1,1
236,25027,4.2431,751,1140,IISPH,5,2500,11,0.03,0.0028771658,0.0011279322,Extrapolation,10,1,1,1
237,25060,2.2785,752,1140,IISPH,5,2500,3,0.03,0.002754773,0.0014544978,Extrapolation,10,1,1,1
238,25093,2.5493,753,1140,IISPH,5,2500,3,0.03,0.0025403544,0.0014174685,Extrapolation,10,1,1,1
239,25127,4.7653,754,1140,IISPH,5,2500,17,0.03,0.002903322,0.0024978744,Extrapolation,10,1,1,1
240,25160,2.259,755,1140,IISPH,5,2500,3,0.03,0.0028197286,0.0017669529,Extrapolation,10,1,1,1
241,25193,8.6002,756,1140,IISPH,5,2500,37,0.03,0.0028938956,0.002852899,Extrapolation,10,1,1,1
242,25227,3.8677,757,1140,IISPH,5,2500,11,0.03,0.002960059,0.0046131057,Extrapolation,10,1,1,1
243,25260,2.4752,758,1140,IISPH,5,2500,3,0.03,0.0008823293,0.003150482,Extrapolation,10,1,1,1
244,25293,2.467,759,1140,IISPH,5,2500,3,0.03,0.0012330711,0.0026958873,Extrapolation,10,1,1,1
245,25326,5.194,760,1140,IISPH,5,2500,18,0.03,0.0029847363,0.0069074985,Extrapolation,10,1,1,1
246,25360,2.9416,761,1140,IISPH,5,2500,7,0.03,0.0029655793,0.006307883,Extrapolation,10,1,1,1
247,25393,5.5392,762,1140,IISPH,5,2500,18,0.03,0.0029855266,0.0055800434,Extrapolation,10,1,1,1
248,25426,24.3891,763,1140,IISPH,5,2500,110,0.03,0.0033796397,0.010102522,Extrapolation,10,1,1,1
249,25460,10.3675,764,1140,IISPH,5,2500,38,0.03,0.0031173793,0.0093767345,Extrapolation,10,1,1,1
250,25493,6.5497,765,1140,IISPH,5,2500,23,0.03,0.0030880736,0.007584274,Extrapolation,10,1,1,1
251,25526,3.9046,766,1140,IISPH,5,2500,11,0.03,0.0029787759,0.005911762,Extrapolation,10,1,1,1
252,25560,3.5708,767,1140,IISPH,5,2500,10,0.03,0.002969824,0.006008819,Extrapolation,10,1,1,1
253,25593,3.962,768,1140,IISPH,5,2500,10,0.03,0.0029557017,0.006344688,Extrapolation,10,1,1,1
254,25626,7.188,769,1140,IISPH,5,2500,29,0.03,0.003022802,0.0060945987,Extrapolation,10,1,1,1
255,25659,8.4213,770,1140,IISPH,5,2500,33,0.03,0.0030983351,0.009691272,Extrapolation,10,1,1,1
256,25693,14.3668,771,1140,IISPH,5,2500,62,0.03,0.0031082353,0.0090486305,Extrapolation,10,1,1,1
257,25726,8.8367,772,1140,IISPH,5,2500,41,0.03,0.0031064858,0.009192802,Extrapolation,10,1,1,1
258,25759,6.9412,773,1140,IISPH,5,2500,25,0.03,0.0030231746,0.006293126,Extrapolation,10,1,1,1
259,25793,4.4343,774,1140,IISPH,5,2500,15,0.03,0.0029716303,0.00721516,Extrapolation,10,1,1,1
260,25826,5.4778,775,1140,IISPH,5,2500,17,0.03,0.0029544148,0.0066564544,Extrapolation,10,1,1,1
261,25859,5.9741,776,1140,IISPH,5,2500,19,0.03,0.002988123,0.0062468424,Extrapolation,10,1,1,1
262,25893,5.1841,777,1140,IISPH,5,2500,23,0.03,0.0029769584,0.0053394367,Extrapolation,10,1,1,1
263,25926,8.6122,778,1140,IISPH,5,2500,36,0.03,0.0030174514,0.006447421,Extrapolation,10,1,1,1
264,25959,6.9003,779,1140,IISPH,5,2500,27,0.03,0.0029867908,0.006281946,Extrapolation,10,1,1,1
265,25992,6.0959,780,1140,IISPH,5,2500,24,0.03,0.0029654438,0.00590306,Extrapolation,10,1,1,1
266,26026,14.8375,781,1140,IISPH,5,2500,67,0.03,0.0031304178,0.007678287,Extrapolation,10,1,1,1
267,26059,4.7881,782,1140,IISPH,5,2500,16,0.03,0.0029722399,0.008656613,Extrapolation,10,1,1,1
268,26092,5.3996,783,1140,IISPH,5,2500,19,0.03,0.0029545163,0.0053681047,Extrapolation,10,1,1,1
269,26126,5.6308,784,1140,IISPH,5,2500,16,0.03,0.0029710205,0.008571059,Extrapolation,10,1,1,1
270,26159,5.1614,785,1140,IISPH,5,2500,15,0.03,0.002946377,0.006975838,Extrapolation,10,1,1,1
271,26192,10.9173,786,1140,IISPH,5,2500,41,0.03,0.0030141661,0.0075957663,Extrapolation,10,1,1,1
272,26226,9.4387,787,1140,IISPH,5,2500,35,0.03,0.003034531,0.008017442,Extrapolation,10,1,1,1
273,26259,6.7596,788,1140,IISPH,5,2500,25,0.03,0.002968458,0.005954068,Extrapolation,10,1,1,1
274,26292,5.7423,789,1140,IISPH,5,2500,21,0.03,0.0029809321,0.0058866763,Extrapolation,10,1,1,1
275,26325,4.9241,790,1140,IISPH,5,2500,14,0.03,0.0029363187,0.0065114065,Extrapolation,10,1,1,1
276,26359,10.8655,791,1140,IISPH,5,2500,46,0.03,0.002991453,0.00642539,Extrapolation,10,1,1,1
277,26392,8.3488,792,1140,IISPH,5,2500,32,0.03,0.00303934,0.0070573725,Extrapolation,10,1,1,1
278,26425,6.5526,793,1140,IISPH,5,2500,26,0.03,0.002981598,0.0060065375,Extrapolation,10,1,1,1
279,26459,6.5151,794,1140,IISPH,5,2500,23,0.03,0.0029882924,0.00594361,Extrapolation,10,1,1,1
280,26492,4.5805,795,1140,IISPH,5,2500,14,0.03,0.0029581175,0.0055808634,Extrapolation,10,1,1,1
281,26525,5.3791,796,1140,IISPH,5,2500,16,0.03,0.002935111,0.005669844,Extrapolation,10,1,1,1
282,26559,8.5162,797,1140,IISPH,5,2500,30,0.03,0.002994501,0.0067477133,Extrapolation,10,1,1,1
283,26592,8.0773,798,1140,IISPH,5,2500,30,0.03,0.0029825238,0.0055513536,Extrapolation,10,1,1,1
284,26625,8.8338,799,1140,IISPH,5,2500,32,0.03,0.00296944,0.0056418064,Extrapolation,10,1,1,1
285,26658,12.347,800,1140,IISPH,5,2500,52,0.03,0.0030035323,0.0076168138,Extrapolation,10,1,1,1
286,26692,5.5681,801,1140,IISPH,5,2500,20,0.03,0.0029473254,0.005992415,Extrapolation,10,1,1,1
287,26725,5.0461,802,1140,IISPH,5,2500,18,0.03,0.0029161007,0.0052765,Extrapolation,10,1,1,1
288,26758,8.6264,803,1140,IISPH,5,2500,35,0.03,0.0029871748,0.0061822226,Extrapolation,10,1,1,1
289,26792,5.0247,804,1140,IISPH,5,2500,15,0.03,0.002935224,0.0053613065,Extrapolation,10,1,1,1
290,26825,7.2096,805,1140,IISPH,5,2500,24,0.03,0.0029294554,0.004539212,Extrapolation,10,1,1,1
