sample,simulationStep,simulationStepsTime,neighborSearchTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
144,16936,6.9292,2.29,445,6838,IISPH,5,2000,18,0.015,0.0014940252,0.00013384329,Zero,5,1,1,1
145,17003,5.7995,1.4938,446,6838,IISPH,5,2000,16,0.015,0.0014931607,0.00013975182,Zero,5,1,1,1
146,17070,6.4285,1.5647,447,6838,IISPH,5,2000,16,0.015,0.0014932381,0.00014412585,Zero,5,1,1,1
147,17136,6.2123,1.471,448,6838,IISPH,5,2000,19,0.015,0.0014943349,0.00015504943,Zero,5,1,1,1
148,17203,5.7146,1.446,449,6838,IISPH,5,2000,16,0.015,0.0014937543,0.00016375263,Zero,5,1,1,1
149,17269,6.1937,1.4477,450,6838,IISPH,5,2000,20,0.015,0.0014939478,0.00016901591,Zero,5,1,1,1
150,17336,6.3786,1.4226,451,6838,IISPH,5,2000,19,0.015,0.0014938833,0.0001715276,Zero,5,1,1,1
151,17403,6.5799,1.4732,452,6838,IISPH,5,2000,17,0.015,0.0014930317,0.00016895734,Zero,5,1,1,1
152,17469,5.4745,1.4972,453,6838,IISPH,5,2000,15,0.015,0.001493264,0.00016395374,Zero,5,1,1,1
153,17536,6.8465,2.2771,454,6838,IISPH,5,2000,17,0.015,0.0014933543,0.00015601973,Zero,5,1,1,1
154,17603,5.8089,1.6521,455,6838,IISPH,5,2000,15,0.015,0.0014929285,0.00014571993,Zero,5,1,1,1
155,17669,5.9513,2.1154,456,6838,IISPH,5,2000,14,0.015,0.0014926706,0.00013628852,Zero,5,1,1,1
156,17736,6.3665,1.7426,457,6838,IISPH,5,2000,16,0.015,0.0014937671,0.00013455386,Zero,5,1,1,1
157,17802,5.5472,1.5471,458,6838,IISPH,5,2000,15,0.015,0.0014930317,0.0001322944,Zero,5,1,1,1
158,17869,6.5238,1.4448,459,6838,IISPH,5,2000,20,0.015,0.0014939607,0.00013052864,Zero,5,1,1,1
159,17936,6.6443,2.335,460,6838,IISPH,5,2000,14,0.015,0.0014930317,0.00013375316,Zero,5,1,1,1
160,18002,5.6033,1.5088,461,6838,IISPH,5,2000,15,0.015,0.0014933543,0.00013433701,Zero,5,1,1,1
161,18069,6.6863,1.4636,462,6838,IISPH,5,2000,16,0.015,0.0014933543,0.00013327446,Zero,5,1,1,1
162,18135,6.8179,1.6272,463,6838,IISPH,5,2000,20,0.015,0.0014935737,0.00013005835,Zero,5,1,1,1
163,18202,6.9458,1.5317,464,6838,IISPH,5,2000,17,0.015,0.0014937801,0.00012726263,Zero,5,1,1,1
