sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
97,21104,2.4013,211,1650,SESPH,40,45000,0,0.01,0.1023997,0.0032783365,Mirroring,40,1,1,1
98,21204,2.5142,212,1650,SESPH,40,45000,0,0.01,0.11936352,0.0021925143,Mirroring,40,1,1,1
99,21304,2.4054,213,1650,SESPH,40,45000,0,0.01,0.106564894,0.0028257722,Mirroring,40,1,1,1
100,21404,2.8666,214,1650,SESPH,40,45000,0,0.01,0.10296686,0.0032926053,Mirroring,40,1,1,1
101,21504,3.0357,215,1650,SESPH,40,45000,0,0.01,0.09028044,0.003821039,Mirroring,40,1,1,1
102,21604,2.5125,216,1650,SESPH,40,45000,0,0.01,0.08405672,0.0018395843,Mirroring,40,1,1,1
103,21704,2.5408,217,1650,SESPH,40,45000,0,0.01,0.08555086,0.0036771065,Mirroring,40,1,1,1
104,21805,2.3853,218,1650,SESPH,40,45000,0,0.01,0.07767181,0.002119146,Mirroring,40,1,1,1
105,21905,2.7097,219,1650,SESPH,40,45000,0,0.01,0.09954302,0.0030400306,Mirroring,40,1,1,1
106,22005,3.0857,220,1650,SESPH,40,45000,0,0.01,0.08872544,0.0048173997,Mirroring,40,1,1,1
107,22105,2.5335,221,1650,SESPH,40,45000,0,0.01,0.11623365,0.003747912,Mirroring,40,1,1,1
108,22205,2.2933,222,1650,SESPH,40,45000,0,0.01,0.10051887,0.0051607555,Mirroring,40,1,1,1
109,22305,2.7888,223,1650,SESPH,40,45000,0,0.01,0.11478827,0.0049680364,Mirroring,40,1,1,1
110,22405,3.321,224,1650,SESPH,40,45000,0,0.01,0.103968024,0.0034778484,Mirroring,40,1,1,1
111,22505,3.5211,225,1650,SESPH,40,45000,0,0.01,0.08434553,0.0057947217,Mirroring,40,1,1,1
112,22605,2.6635,226,1650,SESPH,40,45000,0,0.01,0.09549861,0.006380981,Mirroring,40,1,1,1
